Channel 1 counts,Channel 3 power,Channel 4 flux,rr-active-state,RR position,ss1-active-state,SS1 position,ss2-active-state,SS2 position,reconstruction_error,,SHAP_Channel 1 counts,SHAP_Channel 3 power,SHAP_Channel 4 flux,SHAP_rr-active-state,SHAP_RR position,SHAP_ss1-active-state,SHAP_SS1 position,SHAP_ss2-active-state,SHAP_SS2 position
0.767800037,0.618553312,0.012435514,1,0.075468777,1,0.891271346,1,0.651145974,0.272689297,330,0.008551715,0.006868218,0,0,0,0,0,0,0
0.767800037,0.618504063,0.012294156,1,0.064655379,1,0.88904893,1,0.648533416,0.270675244,331,0.008566172,0.006875302,0,0,0,0,0,0,0
0.767509423,0.618492982,0.012249239,1,0.052830219,1,0.886079363,1,0.645511297,0.26864487,332,0.008575343,0.006884002,0,0,0,0,0,0,0
0.768671876,0.618713371,0.011114414,1,0.041518919,1,0.882497482,1,0.642599567,0.266611993,333,0.008585732,0.006892314,0,0,0,0,0,0,0
0.76809065,0.618719527,0.011077423,1,0.028865519,1,0.87887277,1,0.639627043,0.264550553,334,0.008595258,0.006899654,0,0,0,0,0,0,0
0.767800037,0.618691209,0.011008726,1,0.018348946,1,0.876380682,1,0.63696169,0.262556981,335,0.008599616,0.006905609,0,0,0,0,0,0,0
0.767509423,0.618937454,0.010811882,1,0.005138599,1,0.873553883,1,0.633705992,0.260820519,336,0.008604744,0.006909956,0,0,0,0,0,0,0
0.769253103,0.619012558,0.010194928,1,0.001334121,1,0.869686466,1,0.630651876,0.259308065,337,0.008611516,0.006916493,0,0,0,0,0,0,0
0.769253103,0.619035952,0.010176433,1,0.001324546,1,0.869012286,1,0.62812731,0.257947258,338,0.00861974,0.006919039,0,0,0,0,0,0,0
0.76721881,0.61916523,0.010187002,1,0.001326141,1,0.865846017,1,0.625053995,0.256724937,339,0.008620976,0.006924842,0,0,0,0,0,0,0
0.76721881,0.618383403,0.010146048,1,0.001319758,1,0.863017632,1,0.622185461,0.255703657,340,0.008624088,0.006928209,0,0,0,0,0,0,0
0.767509423,0.61846097,0.009093131,1,0.00132295,1,0.860140071,1,0.619052952,0.254829363,341,0.008628529,0.006930959,0,0,0,0,0,0,0
0.769253103,0.618315686,0.00899537,1,0.001319758,1,0.855387495,1,0.615686864,0.254118858,342,0.008634095,0.006934394,0,0,0,0,0,0,0
0.769253103,0.618191332,0.008877792,1,0.001326141,1,0.854072447,1,0.613026311,0.253573516,343,0.008639029,0.006935888,0,0,0,0,0,0,0
0.769253103,0.618027579,0.008879113,1,0.001321354,1,0.851250406,1,0.609972195,0.25304081,344,0.008642713,0.006940139,0,0,0,0,0,0,0
0.769543716,0.618227038,0.008861938,1,0.001326141,1,0.847792257,1,0.607300443,0.252566083,345,0.008648362,0.006943464,0,0,0,0,0,0,0
0.769543716,0.618499138,0.008842122,1,0.001324546,1,0.845628534,1,0.604388713,0.251970867,346,0.008653155,0.006947458,0,0,0,0,0,0,0
0.767509423,0.618372322,0.008165719,1,0.001326141,1,0.840863268,1,0.600934633,0.251255607,347,0.008654556,0.006950203,0,0,0,0,0,0,0
