Unnamed: 0.2,Unnamed: 0,index,adj neg air pressure raw,Air pressure,current alarm mode,cont air counts raw,Air monitor counts,makeup wtr cond down raw,Downstream conductivity,makeup wtr cond up raw,Upstream conductivity,makeup wtr temp down,makeup wtr temp down raw,makeup wtr temp up,makeup wtr temp up raw,DAS health index,0-15 channel error,16-31 channel error status,error detection status 2,card temperature 2,error detection status 3,card temperature 3,error detection status 4,card temperature 4,error detection status 5,card temperature 5,FC voltage supply,fiss-active-state,fiss-position,Magnet current,mag-current-raw,Mode,Channel 1 counts,nfd-1cps-raw,Channel 1 change rate,nfd-1-cr-raw,Channel 2 change rate,nfd-2-cr-raw,Channel 2 power,nfd-2-log-raw,Channel 3 power,nfd-3-pwr-raw,nfd-3-pwr-rng,Channel 4 flux,nfd-4-flux-raw,Console monitor,rom-con-lvl-raw,Pool monitor,ram-pool-lvl-raw,Makeup water monitor,ram-wtr-lvl-raw,rcs-scram-rel-q,rcs-scram-st-q,rr-active-state,RR position,rtpbtempa_00,rtpbtempb_00,rtpctempa_00,rtpctempb_00,rtphactcnta_00,rtphactcntb_00,src-active-state,src-position,ss1-active-state,SS1 position,ss2-active-state,SS2 position,ack-button,manual-scram,Unnamed: 0.1,Abnormal
0.999216827,0.33801397,,0.829035099,0.828973843,1,0.079515534,0.001948997,0.49770291,0.49770291,0.255811582,0.255811582,0.486458396,0.486404834,0.496107781,0.496169169,1,,,,0.228571429,,0.2,,0.142857143,,0.194444444,1,,0.026128396,0.999873262,0.999871425,1,0.76809065,0.983684641,0.324526202,0.324561404,0.752058883,0.751953928,0.660237658,0.973810753,0.619160305,0.361367281,0,0.663311073,0.663314342,0.358826611,0.708455625,0.274264112,0.828405443,0.523856859,0.71720679,,,0,0.487945039,0.2,0.2,0.25,0,0.285714286,,0,1,0,0.994251223,0,0.755749066,0,0,0.859087865,0
0.999217819,0.338019971,,0.827902881,0.827967807,1,0.079353506,0.001944132,0.49770291,0.49770291,0.255709625,0.255709625,0.472862409,0.472809668,0.495592905,0.495556237,1,,,,0.228571429,,0.171428571,,0.142857143,,0.194444444,1,,0.02607362,0.999871426,0.999871425,1,0.767800037,0.983684641,0.326732867,0.326709631,0.751363239,0.751336898,0.660216616,0.973783586,0.618954691,0.3611668,0,0.663284651,0.663314342,0.376375065,0.72152341,0.27769676,0.830056566,0.583499006,0.761959877,,,0,0.487949827,0.2,0.2,0.25,0,0.285714286,,0,1,0,0.994249637,0,0.755760265,0,0,0.859125065,0
0.999218812,0.338025972,,0.826896465,0.826961771,1,0.079312999,0.001942128,0.497090352,0.497090352,0.25550571,0.25550571,0.468427095,0.46858006,0.49717431,0.497088569,1,,,,0.228571429,,0.2,,0.114285714,,0.194444444,1,,0.026183173,0.999876936,0.999889793,1,0.769543716,0.983791277,0.329457024,0.329484425,0.752395485,0.752365282,0.659887824,0.973756418,0.618878355,0.36106656,0,0.663309752,0.663314342,0.328968046,0.684696017,0.232130037,0.806298731,0.562624254,0.746527778,,,0,0.487959402,0.2,0.2,0.25,0,0.285714286,,0,1,0,0.994255982,0,0.755760265,0,0,0.859162265,0
0.999219805,0.338031972,,0.825764247,0.825955734,1,0.079312999,0.001942701,0.495865237,0.495865237,0.25550571,0.25550571,0.488355792,0.488519637,0.498878305,0.498927367,1,,,,0.228571429,,0.228571429,,0.114285714,,0.25,1,,0.026237949,0.999871426,0.999871425,1,0.768962489,0.983755732,0.327279651,0.327246688,0.753562372,0.753393665,0.659999613,0.973783586,0.618694903,0.360866079,0,0.663251623,0.663264801,0.422472499,0.753529001,0.218522839,0.798287724,0.463220676,0.668338477,,,0,0.487953019,0.2,0.2,0.25,0,0,,0,1,0,0.994262328,0,0.755765065,0,0,0.859199464,0
0.999220797,0.338037973,,0.822996603,0.822937626,1,0.079272492,0.00194127,0.496171516,0.496171516,0.25591354,0.25591354,0.495437791,0.495468278,0.496965908,0.497088569,1,,,,0.228571429,,0.228571429,,0.142857143,,0.194444444,1,,0.026457055,0.999878773,0.999889793,1,0.767800037,0.983684641,0.328597791,0.32858933,0.746471288,0.746400658,0.659886509,0.973756418,0.618715834,0.360916199,0,0.663185568,0.663215259,0.407019382,0.743186583,0.196928565,0.784497783,0.547713718,0.735210905,,,0,0.487957806,0.2,0.2,0.25,0.25,0.571428571,,0,1,0,0.99425281,0,0.755760265,0,0,0.859236664,0
0.99922179,0.338043974,,0.821864385,0.82193159,1,0.079191477,0.00193898,0.497396631,0.497396631,0.255811582,0.255811582,0.486228775,0.486102719,0.496144558,0.496169169,1,,,,0.2,,0.228571429,,0.171428571,,0.194444444,1,,0.025964067,0.99988061,0.999871425,1,0.767509423,0.983649095,0.32625443,0.326262084,0.747907457,0.747840395,0.659860206,0.973756418,0.618384634,0.360515237,0,0.663180284,0.663215259,0.413567313,0.74765898,0.309555326,0.844427458,0.570576541,0.752700617,,,0,0.487954614,0.2,0.2,0.25,0.25,0.285714286,,0,1,0,0.994255982,0,0.755755466,0,0,0.859273864,0
0.999222782,0.338049975,,0.823122405,0.822937626,1,0.079191477,0.001939266,0.49770291,0.49770291,0.255811582,0.255811582,0.47459061,0.474622356,0.496058745,0.496169169,1,,,,0.228571429,,0.171428571,,0.142857143,,0.194444444,1,,0.026511832,0.999878773,0.999871425,1,0.76721881,0.98361355,0.325678354,0.325635517,0.744586316,0.744549568,0.659630052,0.973729251,0.618383403,0.360515237,0,0.66293588,0.66296755,0.324515453,0.680922432,0.320739478,0.849136218,0.555666004,0.741255144,,,0,0.487960998,0.2,0.2,0.25,0.25,0.142857143,,0,1,0,0.994259155,0,0.755758666,0,0,0.859311063,0
0.999223775,0.338055976,,0.824380425,0.823943662,1,0.079353506,0.001943559,0.497396631,0.497396631,0.25550571,0.25550571,0.467109795,0.467069486,0.497125274,0.497088569,1,,,,0.2,,0.2,,0.142857143,,0.194444444,1,,0.025854514,0.999882446,0.999889793,1,0.767509423,0.983649095,0.328451331,0.328410311,0.754415098,0.754422049,0.659036913,0.973674916,0.61846097,0.360615477,0,0.662887,0.662918008,0.371136721,0.717749825,0.256326842,0.819415991,0.596421471,0.770833333,,,0,0.487953019,0.2,0.2,0.25,0.25,0,,0,1,0,0.994255982,0,0.755760265,0,0,0.859348263,0
0.999224768,0.338061976,,0.823248207,0.822937626,1,0.07915097,0.001936977,0.495865237,0.495865237,0.255403752,0.255403752,0.486869297,0.487009063,0.498964118,0.498927367,1,,,,0.2,,0.2,,0.114285714,,0.194444444,1,,0.026292726,0.99988061,0.999871425,1,0.769253103,0.983791277,0.332630325,0.332617257,0.752462805,0.752365282,0.658391167,0.973620582,0.618315686,0.360465116,0,0.66255144,0.662571216,0.474855946,0.786233403,0.269664812,0.826142792,0.51888668,0.713863169,,,0,0.487946635,0.2,0.2,0.25,0,0,,0,1,0,0.99425281,0,0.755749066,0,0,0.859385462,0
0.99922576,0.338067977,,0.823625613,0.823943662,1,0.079312999,0.001942414,0.496171516,0.496171516,0.255709625,0.255709625,0.496948456,0.496978852,0.497444007,0.497395035,1,,,,0.2,,0.2,,0.142857143,,0.194444444,1,,0.025854514,0.999875099,0.999871425,1,0.769253103,0.983791277,0.328412275,0.328410311,0.747189372,0.747017688,0.658326724,0.973620582,0.618191332,0.360314755,0,0.662515771,0.662521675,0.329753798,0.685324948,0.225556403,0.802476686,0.41749503,0.628343621,,,0,0.487941848,0.2,0.2,0.25,0,0.285714286,,0,1,0,0.994246465,0,0.755752266,0,0,0.859422662,0
0.999226753,0.338073978,,0.831928544,0.831991952,1,0.079312999,0.001942128,0.496477795,0.496477795,0.255811582,0.255811582,0.488585413,0.488519637,0.495114805,0.49524977,1,,,,0.2,,0.2,,0.142857143,,0.222222222,1,,0.025799737,0.99988061,0.999871425,1,0.769253103,0.983791277,0.329359384,0.329305406,0.752058883,0.751953928,0.658238607,0.973593415,0.618027579,0.360164395,0,0.662624101,0.662620758,0.327396543,0.683438155,0.212353047,0.794496254,0.555666004,0.741255144,,,0,0.487953019,0.2,0.2,0.25,0,0.285714286,,0,1,0,0.99425281,0,0.755753866,0,0,0.859459862,0
0.999227746,0.338079979,,0.831299535,0.830985915,1,0.079312999,0.001942987,0.496477795,0.496477795,0.255709625,0.255709625,0.473164542,0.473111782,0.49553161,0.495556237,1,,,,0.2,,0.2,,0.142857143,,0.194444444,1,,0.026018843,0.999875099,0.999871425,1,0.769543716,0.983826823,0.327855727,0.327873255,0.749298746,0.749280132,0.658623951,0.973647749,0.618227038,0.360364876,0,0.662684871,0.662719841,0.383184914,0.726415094,0.294759042,0.837945268,0.489065606,0.689814815,,,0,0.487953019,0.2,0.2,0.25,0,0.142857143,,0,1,0,0.994260741,0,0.755757066,0,0,0.859497061,0
0.999228738,0.33808598,,0.830167317,0.829979879,1,0.079353506,0.001943845,0.497396631,0.497396631,0.25550571,0.25550571,0.465611215,0.465558912,0.49658588,0.496475636,1,,,,0.228571429,,0.2,,0.114285714,,0.194444444,1,,0.025854514,0.99988061,0.999889793,1,0.769543716,0.983826823,0.324614078,0.324561404,0.750375872,0.750308515,0.658545041,0.973647749,0.618499138,0.360665597,0,0.662876431,0.662868467,0.36458879,0.712718379,0.256842861,0.819691179,0.438369781,0.647633745,,,0,0.487946635,0.2,0.2,0.25,0,0.428571429,,0,1,0,0.994260741,0,0.755761865,0,0,0.859534261,0
